SKU,Product Name,Product Description,External Image URL,Wordpress Media Library URL
370150,Adidas Tour 36 XT PrimeKnit Shoe,These men's golf shoes feature a premium knit upper for adaptive support and a soft feel for 18 holes. The responsive boost midsole returns energy on every swing. The outsole provides enhanced traction and grip for stability around the greens.,https://images-na.ssl-images-amazon.com/images/I/81jYwVmufsL._AC_UX575_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Adidas Tour 36 XT PrimeKnit Shoe.jpg
370150,Adidas Codechaos Sport Shoe,"These men's golf shoes feature a durable, lightweight upper with extra room for stability and a comfortable fit. Built with a responsive boost midsole, they're designed with rain.Rdy that blocks the wind and rain while keeping your feet dry. A durable outsole provides a soft grip around the green.",https://images-na.ssl-images-amazon.com/images/I/71g6GxSOEeL._AC_UX395_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Adidas Codechaos Sport Shoe.jpg
370150,Adidas Codechaos Shoe,"These men's golf shoes are built with a rubber, spike less chaos train outsole for exceptional grip and lightweight traction on the links. A responsive boost midsole with extra cushioning in the sock liner delivers enhanced comfort, while an extended heel and microfiber tongue add stability and structure. blocks the wind and rain while keeping your feet dry.",https://images-na.ssl-images-amazon.com/images/I/71S%2Bu1YNtkL._AC_UX575_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Adidas Codechaos Shoe.jpg
370150,Ecco Cool Pro,"Dr it tone leather upper is lightweight, with increased breathability properties and high performance.",https://images-na.ssl-images-amazon.com/images/I/81Jq5VkQ46L._AC_UX675_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Ecco Cool Pro.jpg
370150,Ecco Biom Hybrid 3,"Whether you are hitting an approach to the green, or going for a stroll after your round, you are sure to benefit from the BIOM Hybrid 3's innovative outsole, called ECCO Tri-Fi-Grip. With three different zones- one for stability, one for durability and another for rotation- the outsole assist you from back-swing to follow-through. Crafted with BIOM technology to encourage more natural walking motion and enable more power efficiency, as well as enhancing feeling and stability.  ECCO is a European shoe company founded in Denmark in 1963. Today they own and operate factories throughout Europe and Asia. They produce all the leather used in making Ecco shoes, taking measures to protect the environment at the same time. Their sole aim is to make a comfortable walking shoe. Stretchable double-layer neoprene offers soft padding for your feet",https://images-na.ssl-images-amazon.com/images/I/51ofjS6QiOL._AC_UY535_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Ecco Biom Hybrid 3.jpg
370150,Ecco Golf S-Three,"Blending on-course performance with off-course style, The waterproof ECCO golf s-three delivers premium comfort from the tee box to the clubhouse and beyond. This men’s hybrid golf shoe is enhanced with an e-dts outsole and gore-tex technology for excellent traction and wet weather protection. The latest ECCO zonal fluid form innovation creates three distinct zones of rigidity in the midsole, ensuring the right balance of cushioning and stability.      ",https://images-na.ssl-images-amazon.com/images/I/61OpK3Cl2FL._AC_UY625_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Ecco Golf S-Three.jpg
370150,FJ Contour Series Shoe,New Mens Golf Shoe Footjoy Contour Series 9.5 White,https://images-na.ssl-images-amazon.com/images/I/617t4e-HmvL._AC_UY695_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/FJ Contour Series Shoe.jpg
370150,FJ Pro SL Carbon Shoe,"Pro/sleeve carbon men's golf shoes provide superior feel with fine tuned foam (ftf) for supple cushioning and a Infinity outsole design for superior stability. Fj, the #1 shoe in golf.",https://images-na.ssl-images-amazon.com/images/I/719ULimphqL._AC_UX500_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/FJ Pro SL Carbon Shoe.jpg
370150,FJ Tour X Shoe,"Inspired by our vast network of tour players, the all new tour x delivers a total max feel, Featuring power strap and launched technologies for tour-validated stability, comfort and control.",https://images-na.ssl-images-amazon.com/images/I/719a-CiQ4EL._AC_UY500_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/FJ Tour X Shoe.jpg
370150,FJ Flex XP Shoe,Discover the athletic-infused styling of the all-new waterproof fj flex XP.,https://images-na.ssl-images-amazon.com/images/I/71tei1YPu3L._AC_UY535_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/FJ Flex XP Shoe.jpg
